Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
DDO,0006531 // aspartate metabolic process // inferred from electronic annotation /// 0006533 // aspartate catabolic process // traceable author statement /// 0007320 // insemination // inferred from electronic annotation /// 0007625 // grooming behavior // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0042445 // hormone metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // traceable author statement /// 0055114 // oxidation reduction // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation /// 0005777 // peroxisome // inferred from electronic annotation,0003824 // catalytic activity // inferred from electronic annotation /// 0003884 // D-amino-acid oxidase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0008445 // D-aspartate oxidase activity // traceable author statement /// 0008445 // D-aspartate oxidase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation,---
AK3L1,"0006139 // nucleobase, nucleoside, nucleotide and nucleic acid metabolic process // inferred from electronic annotation /// 0009165 // nucleotide biosynthetic process // inferred from electronic annotation /// 0010243 // response to organic nitrogen // inferred from electronic annotation /// 0014070 // response to organic cyclic substance // inferred from electronic annotation",0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005759 // mitochondrial matrix // inferred from electronic annotation,"0000166 // nucleotide binding // inferred from electronic annotation /// 0004017 // adenylate kinase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016776 // phosphotransferase activity, phosphate group as acceptor // inferred from electronic annotation /// 0019201 // nucleotide kinase activity // inferred from electronic annotation /// 0019205 // nucleobase, nucleoside, nucleotide kinase activity // inferred from electronic annotation",---
IL24,0006915 // apoptosis // inferred from electronic annotation /// 0006915 // apoptosis // traceable author statement /// 0006916 // anti-apoptosis // traceable author statement /// 0006968 // cellular defense response // traceable author statement,0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005125 // cytokine activity // inferred from electronic annotation,---
RAPSN,"0007268 // synaptic transmission // traceable author statement /// 0007268 // synaptic transmission // inferred from electronic annotation /// 0007271 // synaptic transmission, cholinergic // inferred from genetic interaction",0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0031594 // neuromuscular junction // inferred from electronic annotation /// 0045202 // synapse // inferred from electronic annotation /// 0045211 // postsynaptic membrane // inferred from electronic annotation,0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0033130 // acetylcholine receptor binding // inferred from direct assay /// 0033130 // acetylcholine receptor binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
SLC35C2,0006810 // transport // inferred from electronic annotation,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
SPTLC1,0006665 // sphingolipid metabolic process // traceable author statement /// 0006686 // sphingomyelin biosynthetic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0030148 // sphingolipid biosynthetic process // traceable author statement /// 0046511 // sphinganine biosynthetic process // inferred from electronic annotation /// 0046512 // sphingosine biosynthetic process // inferred from electronic annotation /// 0046513 // ceramide biosynthetic process // inferred from electronic annotation,0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0017059 // serine C-palmitoyltransferase complex // inferred from direct assay /// 0035339 // SPOTS complex // inferred from direct assay,"0003824 // catalytic activity // inferred from electronic annotation /// 0004758 // serine C-palmitoyltransferase activity // inferred from direct assay /// 0004758 // serine C-palmitoyltransferase activity // inferred from electronic annotation /// 0004758 // serine C-palmitoyltransferase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008415 // acyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation",---
B4GALT6,0005975 // carbohydrate metabolic process // inferred from electronic annotation,0005794 // Golgi apparatus // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0032580 // Golgi cisterna membrane // inferred from electronic annotation,"0008378 // galactosyltransferase activity // traceable author statement /// 0008489 // UDP-galactose:glucosylceramide beta-1,4-galactosyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",---
DNASE1,0006308 // DNA catabolic process // inferred from electronic annotation /// 0006915 // apoptosis // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation /// 0005576 // extracellular region // traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005635 // nuclear envelope // inferred from electronic annotation,0003779 // actin binding // inferred from electronic annotation /// 0004518 // nuclease activity // inferred from electronic annotation /// 0004519 // endonuclease activity // inferred from electronic annotation /// 0004530 // deoxyribonuclease I activity // inferred from electronic annotation /// 0004536 // deoxyribonuclease activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016787 // hydrolase activity // inferred from electronic annotation,---
IGSF3,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
SYTL3,0006886 // intracellular protein transport // inferred from electronic annotation,0012505 // endomembrane system // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0017137 // Rab GTPase binding // inferred from electronic annotation,---
RBM41,---,---,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation,---
KLRC1,0006968 // cellular defense response // traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007166 // cell surface receptor linked signaling pathway // traceable author statement,0005886 // plasma membrane // not recorded /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from electronic annotation /// 0004888 // transmembrane receptor activity // traceable author statement /// 0005488 // binding // inferred from electronic annotation /// 0005529 // sugar binding // inferred from electronic annotation,---
COLQ,0001507 // acetylcholine catabolic process in synaptic cleft // traceable author statement /// 0008105 // asymmetric protein localization // traceable author statement /// 0042135 // neurotransmitter catabolic process // inferred from electronic annotation,0005605 // basal lamina // traceable author statement /// 0005615 // extracellular space // traceable author statement /// 0030054 // cell junction // inferred from electronic annotation /// 0045202 // synapse // inferred from electronic annotation,---,---
SLC30A5,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006812 // cation transport // inferred from electronic annotation /// 0006824 // cobalt ion transport // inferred from direct assay /// 0006829 // zinc ion transport // inferred from direct assay /// 0006829 // zinc ion transport // inferred from electronic annotation /// 0006882 // cellular zinc ion homeostasis // inferred from direct assay /// 0010043 // response to zinc ion // inferred from direct assay /// 0010155 // regulation of proton transport // non-traceable author statement /// 0055085 // transmembrane transport // inferred from electronic annotation,0005624 // membrane fraction // inferred from direct assay /// 0005624 // membrane fraction // non-traceable author statement /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016324 // apical plasma membrane // inferred from direct assay /// 0030141 // secretory granule // inferred from direct assay /// 0030667 // secretory granule membrane // not recorded,0005385 // zinc ion transmembrane transporter activity // not recorded /// 0005385 // zinc ion transmembrane transporter activity // inferred from direct assay /// 0008270 // zinc ion binding // non-traceable author statement /// 0008324 // cation transmembrane transporter activity // inferred from electronic annotation,---
LOR,0018149 // peptide cross-linking // inferred from direct assay /// 0030216 // keratinocyte differentiation // inferred from direct assay /// 0031424 // keratinization // inferred from electronic annotation,0001533 // cornified envelope // inferred from direct assay /// 0005626 // insoluble fraction // traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005654 // nucleoplasm // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0009898 // internal side of plasma membrane // inferred from electronic annotation,"0005198 // structural molecule activity // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // inferred from electronic annotation /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0030280 // structural constituent of epidermis // inferred from electronic annotation /// 0030674 // protein binding, bridging // inferred from direct assay",---
C8G,"0006810 // transport // inferred from electronic annotation /// 0006957 // complement activation, alternative pathway // inferred from electronic annotation /// 0006958 // complement activation, classical pathway // inferred from electronic annotation /// 0019835 // cytolysis // inferred from electronic annotation /// 0045087 // innate immune response // inferred from electronic annotation",0005576 // extracellular region // not recorded /// 0005576 // extracellular region // inferred from electronic annotation /// 0005579 // membrane attack complex // inferred from electronic annotation,0005215 // transporter activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005488 // binding // traceable author statement /// 0019841 // retinol binding // inferred from electronic annotation,---
C10orf107,---,---,---,---
PAGE1,0006968 // cellular defense response // traceable author statement,---,---,---
MT1H,0006882 // cellular zinc ion homeostasis // inferred from electronic annotation /// 0007263 // nitric oxide mediated signal transduction // inferred from electronic annotation /// 0010273 // detoxification of copper ion // inferred from electronic annotation,---,0005515 // protein binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation,---
ZNF529,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
ZNF720,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation,---
CDH19,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // non-traceable author statement /// 0007156 // homophilic cell adhesion // inferred from electronic annotation /// 0016337 // cell-cell adhesion // non-traceable author statement,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // non-traceable author statement /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
NKX2-2,"0003323 // pancreatic B cell development // inferred from electronic annotation /// 0003326 // pancreatic A cell fate commitment // inferred from electronic annotation /// 0003327 // pancreatic B cell fate commitment // inferred from electronic annotation /// 0003329 // pancreatic PP cell fate commitment // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007224 // smoothened signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0007420 // brain development // traceable author statement /// 0014003 // oligodendrocyte development // inferred from electronic annotation /// 0021522 // spinal cord motor neuron differentiation // inferred from electronic annotation /// 0021530 // spinal cord oligodendrocyte cell fate specification // inferred from electronic annotation /// 0031018 // endocrine pancreas development // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045665 // negative regulation of neuron differentiation // inferred from electronic annotation /// 0045666 // positive regulation of neuron differentiation // inferred from electronic annotation /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0048468 // cell development // inferred from electronic annotation /// 0048565 // gut development // inferred from electronic annotation /// 0048665 // neuron fate specification // inferred from electronic annotation /// 0048708 // astrocyte differentiation // inferred from electronic annotation /// 0048714 // positive regulation of oligodendrocyte differentiation // inferred from electronic annotation /// 0060580 // ventral spinal cord interneuron fate determination // inferred from electronic annotation",0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005730 // nucleolus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay,0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008134 // transcription factor binding // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation,---
IGSF1,0007165 // signal transduction // inferred from direct assay /// 0045449 // regulation of transcription // inferred from direct assay,0005576 // extracellular region // inferred from electronic annotation /// 0016020 // membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from direct assay /// 0004872 // receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0015026 // coreceptor activity // inferred from electronic annotation /// 0048186 // inhibin beta-A binding // inferred from direct assay /// 0048187 // inhibin beta-B binding // inferred from direct assay,---
FCRLB,---,0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation,---,---
BICD2,0006810 // transport // inferred from electronic annotation,0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation,---
AZU1,0001774 // microglial cell activation // inferred from expression pattern /// 0001774 // microglial cell activation // inferred from sequence or structural similarity /// 0006508 // proteolysis // inferred from electronic annotation /// 0006916 // anti-apoptosis // non-traceable author statement /// 0006935 // chemotaxis // inferred from electronic annotation /// 0006954 // inflammatory response // non-traceable author statement /// 0007205 // activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway // traceable author statement /// 0008347 // glial cell migration // inferred from direct assay /// 0008347 // glial cell migration // inferred from sequence or structural similarity /// 0042117 // monocyte activation // traceable author statement /// 0042535 // positive regulation of tumor necrosis factor biosynthetic process // inferred from direct assay /// 0042535 // positive regulation of tumor necrosis factor biosynthetic process // inferred from sequence or structural similarity /// 0042742 // defense response to bacterium // inferred from electronic annotation /// 0043114 // regulation of vascular permeability // non-traceable author statement /// 0045123 // cellular extravasation // non-traceable author statement /// 0045348 // positive regulation of MHC class II biosynthetic process // inferred from expression pattern /// 0045348 // positive regulation of MHC class II biosynthetic process // inferred from sequence or structural similarity /// 0045785 // positive regulation of cell adhesion // inferred from direct assay /// 0045785 // positive regulation of cell adhesion // inferred from sequence or structural similarity /// 0048246 // macrophage chemotaxis // non-traceable author statement /// 0050725 // positive regulation of interleukin-1 beta biosynthetic process // inferred from direct assay /// 0050725 // positive regulation of interleukin-1 beta biosynthetic process // inferred from sequence or structural similarity /// 0050754 // positive regulation of fractalkine biosynthetic process // inferred from direct assay /// 0050754 // positive regulation of fractalkine biosynthetic process // inferred from sequence or structural similarity /// 0050766 // positive regulation of phagocytosis // inferred from direct assay /// 0050766 // positive regulation of phagocytosis // inferred from sequence or structural similarity /// 0050829 // defense response to Gram-negative bacterium // traceable author statement /// 0050930 // induction of positive chemotaxis // non-traceable author statement,0005576 // extracellular region // non-traceable author statement /// 0042582 // azurophil granule // inferred from direct assay /// 0042582 // azurophil granule // inferred from sequence or structural similarity,0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008201 // heparin binding // non-traceable author statement /// 0008201 // heparin binding // inferred from electronic annotation /// 0015643 // toxin binding // non-traceable author statement,---
NOXA1,0006801 // superoxide metabolic process // inferred from electronic annotation /// 0010310 // regulation of hydrogen peroxide metabolic process // inferred from mutant phenotype /// 0060263 // regulation of respiratory burst // inferred from mutant phenotype,0005737 // cytoplasm // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0043020 // NADPH oxidase complex // inferred from direct assay,0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016176 // superoxide-generating NADPH oxidase activator activity // inferred from mutant phenotype /// 0016176 // superoxide-generating NADPH oxidase activator activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0048365 // Rac GTPase binding // inferred from physical interaction,---
CD209,0006897 // endocytosis // inferred from electronic annotation /// 0006955 // immune response // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007157 // heterophilic cell-cell adhesion // traceable author statement /// 0007159 // leukocyte cell-cell adhesion // non-traceable author statement /// 0009988 // cell-cell recognition // traceable author statement /// 0019048 // virus-host interaction // traceable author statement /// 0019062 // virion attachment to host cell surface receptor // traceable author statement /// 0019079 // viral genome replication // non-traceable author statement /// 0019882 // antigen processing and presentation // non-traceable author statement /// 0023034 // intracellular signaling pathway // non-traceable author statement /// 0044419 // interspecies interaction between organisms // inferred from electronic annotation /// 0045087 // innate immune response // inferred from electronic annotation /// 0046795 // intracellular virion transport // traceable author statement /// 0046968 // peptide antigen transport // non-traceable author statement,0005576 // extracellular region // inferred from electronic annotation /// 0005737 // cytoplasm // non-traceable author statement /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005529 // sugar binding // non-traceable author statement /// 0005529 // sugar binding // inferred from electronic annotation /// 0005537 // mannose binding // traceable author statement /// 0005537 // mannose binding // inferred from electronic annotation /// 0042605 // peptide antigen binding // non-traceable author statement /// 0046790 // virion binding // traceable author statement /// 0046872 // metal ion binding // inferred from electronic annotation,---
C5orf58,---,---,---,---
TAS2R5,0007165 // signal transduction // inferred from electronic annotation /// 0007165 // signal transduction // traceable author statement /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007635 // chemosensory behavior // traceable author statement /// 0050896 // response to stimulus // inferred from electronic annotation /// 0050909 // sensory perception of taste // inferred from electronic annotation /// 0050909 // sensory perception of taste // traceable author statement,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred by curator /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0008527 // taste receptor activity // traceable author statement,---
C15orf60,---,---,---,---
NLRP1,0006915 // apoptosis // inferred from electronic annotation /// 0006917 // induction of apoptosis // inferred from direct assay /// 0006917 // induction of apoptosis // non-traceable author statement /// 0006919 // activation of caspase activity // inferred from direct assay /// 0006919 // activation of caspase activity // non-traceable author statement /// 0006952 // defense response // inferred from electronic annotation /// 0042981 // regulation of apoptosis // inferred from electronic annotation /// 0051402 // neuron apoptosis // inferred from direct assay,0005622 // intracellular // inferred by curator /// 0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from direct assay /// 0005524 // ATP binding // inferred from electronic annotation /// 0008656 // caspase activator activity // non-traceable author statement /// 0019899 // enzyme binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from physical interaction,---
PPP2R1B,---,---,0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity,Glycogen_Metabolism // GenMAPP
ZNF540,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005730 // nucleolus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
CCDC150,---,---,---,---
PTCRA,0070244 // negative regulation of thymocyte apoptosis // inferred from electronic annotation,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from electronic annotation,---
COX4I2,0006091 // generation of precursor metabolites and energy // non-traceable author statement /// 0045333 // cellular respiration // non-traceable author statement /// 0055114 // oxidation reduction // non-traceable author statement,0005739 // mitochondrion // inferred from electronic annotation /// 0005743 // mitochondrial inner membrane // inferred from electronic annotation /// 0005751 // mitochondrial respiratory chain complex IV // inferred by curator /// 0016020 // membrane // inferred from electronic annotation,0004129 // cytochrome-c oxidase activity // inferred from direct assay /// 0004129 // cytochrome-c oxidase activity // inferred from electronic annotation,---
SCGB1D2,---,0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // traceable author statement,0005488 // binding // inferred from electronic annotation,---
KIF14,0007018 // microtubule-based movement // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005819 // spindle // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003774 // motor activity // inferred from electronic annotation /// 0003777 // microtubule motor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation,---
EDA2R,0007275 // multicellular organismal development // inferred from electronic annotation /// 0008544 // epidermis development // non-traceable author statement /// 0009790 // embryonic development // non-traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation /// 0046330 // positive regulation of JNK cascade // inferred from direct assay /// 0051092 // positive regulation of NF-kappaB transcription factor activity // inferred from direct assay,0005887 // integral to plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred by curator /// 0016021 // integral to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from direct assay /// 0004872 // receptor activity // inferred from electronic annotation /// 0005031 // tumor necrosis factor receptor activity // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction,---
ADAMTS16,0006508 // proteolysis // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation /// 0005578 // proteinaceous extracellular matrix // inferred from electronic annotation /// 0031012 // extracellular matrix // inferred from electronic annotation,0004222 // metalloendopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
LOC653501,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
MACROD2,---,---,---,---
CHADL,---,0005576 // extracellular region // inferred from electronic annotation /// 0005578 // proteinaceous extracellular matrix // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation,---
KCNN3,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006813 // potassium ion transport // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005216 // ion channel activity // inferred from electronic annotation /// 0005516 // calmodulin binding // inferred from electronic annotation /// 0015269 // calcium-activated potassium channel activity // inferred from electronic annotation /// 0016286 // small conductance calcium-activated potassium channel activity // inferred from electronic annotation,---
TNFSF4,0001816 // cytokine production // inferred from electronic annotation /// 0006954 // inflammatory response // inferred from electronic annotation /// 0006955 // immune response // inferred from electronic annotation /// 0007165 // signal transduction // traceable author statement /// 0008203 // cholesterol metabolic process // inferred from electronic annotation /// 0008284 // positive regulation of cell proliferation // traceable author statement /// 0032582 // negative regulation of gene-specific transcription // inferred from sequence or structural similarity /// 0032582 // negative regulation of gene-specific transcription // inferred from electronic annotation /// 0042098 // T cell proliferation // inferred from electronic annotation /// 0043433 // negative regulation of transcription factor activity // inferred from sequence or structural similarity /// 0043433 // negative regulation of transcription factor activity // inferred from electronic annotation /// 0050710 // negative regulation of cytokine secretion // inferred from electronic annotation /// 0051024 // positive regulation of immunoglobulin secretion // inferred from sequence or structural similarity /// 0051024 // positive regulation of immunoglobulin secretion // inferred from electronic annotation,0005615 // extracellular space // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0009986 // cell surface // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005102 // receptor binding // traceable author statement /// 0005125 // cytokine activity // inferred from electronic annotation /// 0005164 // tumor necrosis factor receptor binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0032813 // tumor necrosis factor receptor superfamily binding // inferred from sequence or structural similarity,---
